name,mbti,gender,category,subcategory
Kim Kardashian,istj,unknown,unknown,unknown
Sigmund Freud,istj,unknown,unknown,unknown
Irene (Red Velvet),istj,unknown,unknown,unknown
Tzuyu (TWICE),istj,unknown,unknown,unknown
Moriah Rose Pereira (Poppy),istj,unknown,unknown,unknown
Queen Elizabeth II,istj,unknown,unknown,unknown
Jeff Bezos,istj,unknown,unknown,unknown
Jade Picon,istj,unknown,unknown,unknown
Vitor Santos (Metaforando),istj,unknown,unknown,unknown
Natalie Portman,istj,unknown,unknown,unknown
Sunghoon (ENHYPEN),istj,unknown,unknown,unknown
Johann Sebastian Bach,istj,unknown,unknown,unknown
Morgan Freeman,istj,unknown,unknown,unknown
Angela Merkel,istj,unknown,unknown,unknown
George Washington,istj,unknown,unknown,unknown
Xi Jinping (习近平),istj,unknown,unknown,unknown
D.O. (EXO),istj,unknown,unknown,unknown
Mike Pence,istj,unknown,unknown,unknown
John Jurasek (TheReportOfTheWeek / Reviewbrah),istj,unknown,unknown,unknown
Hila Klein (h3h3Productions),istj,unknown,unknown,unknown
Todd Grande,istj,unknown,unknown,unknown
Peter Steele,istj,unknown,unknown,unknown
Robert de Niro,istj,unknown,unknown,unknown
5up,istj,unknown,unknown,unknown
Eric Zemmour,istj,unknown,unknown,unknown
Thomas Hobbes,istj,unknown,unknown,unknown
Lana Blakely,istj,unknown,unknown,unknown
Rivers Cuomo,istj,unknown,unknown,unknown
Xiumin (EXO),istj,unknown,unknown,unknown
Jongho (ATEEZ),istj,unknown,unknown,unknown
Richard Nixon,istj,unknown,unknown,unknown
Warren Buffett,istj,unknown,unknown,unknown
Anthony Fauci,istj,unknown,unknown,unknown
Jarosław Kaczyński,istj,unknown,unknown,unknown
Artificial Intelligence (A.I.),istj,unknown,unknown,unknown
Caitlyn Jenner,istj,unknown,unknown,unknown
Theresa May,istj,unknown,unknown,unknown
Müge Anlı,istj,unknown,unknown,unknown
Alex Beltman (I Hate Everything),istj,unknown,unknown,unknown
Denzel Washington,istj,unknown,unknown,unknown
Khabane Lame,istj,unknown,unknown,unknown
John Deacon,istj,unknown,unknown,unknown
Kayla Sims (lilsimsie),istj,unknown,unknown,unknown
Guillermo Díaz Íbañez (Willyrex),istj,unknown,unknown,unknown
Lindsay Ellis,istj,unknown,unknown,unknown
Leni Robredo,istj,unknown,unknown,unknown
Yapura Meri,istj,unknown,unknown,unknown
Newman LM,istj,unknown,unknown,unknown
Ruth Bader Ginsburg,istj,unknown,unknown,unknown
Alex (INTJ & INFP Coffee),istj,unknown,unknown,unknown
Stephanie Patrick,istj,unknown,unknown,unknown
Matt Damon,istj,unknown,unknown,unknown
Ruby Granger,istj,unknown,unknown,unknown
Jennifer Connelly,istj,unknown,unknown,unknown
Sting,istj,unknown,unknown,unknown
Seohyun (SNSD),istj,unknown,unknown,unknown
Sérgio Moro,istj,unknown,unknown,unknown
Joe Locke,istj,unknown,unknown,unknown
Tulsi Gabbard,istj,unknown,unknown,unknown
George H. W. Bush,istj,unknown,unknown,unknown
Efe Aydal,istj,unknown,unknown,unknown
Sean Connery,istj,unknown,unknown,unknown
Dwight D. Eisenhower,istj,unknown,unknown,unknown
Marco-Pierre White,istj,unknown,unknown,unknown
Kawhi Leonard,istj,unknown,unknown,unknown
Enes Batur Sungurtekin,istj,unknown,unknown,unknown
Tim Cook,istj,unknown,unknown,unknown
Hans-Hermann Hoppe,istj,unknown,unknown,unknown
Soraru,istj,unknown,unknown,unknown
Victoria Beckham “Posh Spice”,istj,unknown,unknown,unknown
Grayson (Purpled),istj,unknown,unknown,unknown
Queen Victoria,istj,unknown,unknown,unknown
Liam Hemsworth,istj,unknown,unknown,unknown
Suharto,istj,unknown,unknown,unknown
Calvin Coolidge,istj,unknown,unknown,unknown
Park Jihoon,istj,unknown,unknown,unknown
Sowon (GFRIEND),istj,unknown,unknown,unknown
Ivan Zolochevsky (ivanzolo2004),istj,unknown,unknown,unknown
Christopher Lee,istj,unknown,unknown,unknown
Roh Jisun (fromis_9),istj,unknown,unknown,unknown
Carlos Sainz Jr.,istj,unknown,unknown,unknown
Suleiman the Magnificent,istj,unknown,unknown,unknown
Aldo Bartra (El Robot de Platón/Robotitus),istj,unknown,unknown,unknown
Vikkstar,istj,unknown,unknown,unknown
Gabriel Bohm (KamiKat),istj,unknown,unknown,unknown
Abraham,istj,unknown,unknown,unknown
İlber Ortaylı,istj,unknown,unknown,unknown
Lee Min-ho,istj,unknown,unknown,unknown
Kim Gaeul (IVE),istj,unknown,unknown,unknown
Lauren Chen (Roaming Millennial),istj,unknown,unknown,unknown
Krzysztof Bosak,istj,unknown,unknown,unknown
Bernadette Banner,istj,unknown,unknown,unknown
Eric Barone (ConcernedApe),istj,unknown,unknown,unknown
Matt D'Avella,istj,unknown,unknown,unknown
Abdel Fattah el-Sisi,istj,unknown,unknown,unknown
Ben Carson,istj,unknown,unknown,unknown
Pope Benedict XVI,istj,unknown,unknown,unknown
Ruri Ohama,istj,unknown,unknown,unknown
Mitch McConnell,istj,unknown,unknown,unknown
Akita Neru,istj,unknown,unknown,unknown
Gordon Ramsay,estj,unknown,unknown,unknown
Ben Shapiro,estj,unknown,unknown,unknown
Park Jihyo (TWICE),estj,unknown,unknown,unknown
Kim Jong-un,estj,unknown,unknown,unknown
Kris Jenner,estj,unknown,unknown,unknown
Dr. Phil,estj,unknown,unknown,unknown
Kim Lip (LOONA),estj,unknown,unknown,unknown
Hera,estj,unknown,unknown,unknown
Nando Moura,estj,unknown,unknown,unknown
Ivanka Trump,estj,unknown,unknown,unknown
Ciro Gomes,estj,unknown,unknown,unknown
Pitbull,estj,unknown,unknown,unknown
Abby Lee Miller,estj,unknown,unknown,unknown
Ana D'utra Vaz (SuperVulgar),estj,unknown,unknown,unknown
Dino (SEVENTEEN),estj,unknown,unknown,unknown
Viktor Orbán,estj,unknown,unknown,unknown
Giorgia Meloni,estj,unknown,unknown,unknown
Jessica Jung,estj,unknown,unknown,unknown
Lyndon B. Johnson,estj,unknown,unknown,unknown
Chris Hansen,estj,unknown,unknown,unknown
Minji (NewJeans),estj,unknown,unknown,unknown
Érick Jacquin,estj,unknown,unknown,unknown
Henry Ford,estj,unknown,unknown,unknown
Peter Jordan (Ei Nerd),estj,unknown,unknown,unknown
Alec Baldwin,estj,unknown,unknown,unknown
Uma Thurman,estj,unknown,unknown,unknown
Ted Cruz,estj,unknown,unknown,unknown
Marine Le Pen,estj,unknown,unknown,unknown
Diamond Tema,estj,unknown,unknown,unknown
Luciano Huck,estj,unknown,unknown,unknown
Poseidon,estj,unknown,unknown,unknown
Alexander Lukashenko,estj,unknown,unknown,unknown
Fabricio Di Paolo (Lord Vinheteiro),estj,unknown,unknown,unknown
Fernanda Concon,estj,unknown,unknown,unknown
Haewon (NMIXX),estj,unknown,unknown,unknown
Archangel Michael,estj,unknown,unknown,unknown
Shinzo Abe (安倍 晋三),estj,unknown,unknown,unknown
Zakir Naik,estj,unknown,unknown,unknown
Kim Dayeon (Kep1er),estj,unknown,unknown,unknown
Piers Morgan,estj,unknown,unknown,unknown
Mansur Yavaş,estj,unknown,unknown,unknown
MEIKO,estj,unknown,unknown,unknown
Rafa Kalimann,estj,unknown,unknown,unknown
Cristina Fernández de Kirchner,estj,unknown,unknown,unknown
Tiffany Pollard,estj,unknown,unknown,unknown
José Antonio Kast,estj,unknown,unknown,unknown
Paulo Kogos,estj,unknown,unknown,unknown
Edmund Burke,estj,unknown,unknown,unknown
Harry S. Truman,estj,unknown,unknown,unknown
Berlin Edmond (Berleezy),estj,unknown,unknown,unknown
Ana Kasparian,estj,unknown,unknown,unknown
Eduardo Benvenuti (BRKsEDU),estj,unknown,unknown,unknown
Jihoon (TREASURE),estj,unknown,unknown,unknown
Ron DeSantis,estj,unknown,unknown,unknown
Kaitlin Bennett,estj,unknown,unknown,unknown
Reborn Live,estj,unknown,unknown,unknown
Kevin O'Leary,estj,unknown,unknown,unknown
"Logan ""Logic"" Sanders (Sanders Sides)",estj,unknown,unknown,unknown
Saweetie,estj,unknown,unknown,unknown
Cyprien,estj,unknown,unknown,unknown
Larry King,estj,unknown,unknown,unknown
Hunter Avallone,estj,unknown,unknown,unknown
Ana Maria Polo,estj,unknown,unknown,unknown
Sieun (STAYC),estj,unknown,unknown,unknown
"Joey ""CoCo"" Diaz",estj,unknown,unknown,unknown
Atila Iamarino (Nerdologia),estj,unknown,unknown,unknown
Joe Bartolozzi,estj,unknown,unknown,unknown
Alex Ferguson,estj,unknown,unknown,unknown
Murat Soner,estj,unknown,unknown,unknown
Heidi Klum,estj,unknown,unknown,unknown
Hwang Minhyun (NU'EST),estj,unknown,unknown,unknown
Catherine of Aragon,estj,unknown,unknown,unknown
John Wayne,estj,unknown,unknown,unknown
John D. Rockefeller,estj,unknown,unknown,unknown
Priyanka Chopra,estj,unknown,unknown,unknown
Cerberus,estj,unknown,unknown,unknown
Aishwarya Rai,estj,unknown,unknown,unknown
Jeff Cavaliere (ATHLEAN-X),estj,unknown,unknown,unknown
Christian Walker,estj,unknown,unknown,unknown
Cronus / Kronos,estj,unknown,unknown,unknown
Gustavo Sanches (Davy Jones),estj,unknown,unknown,unknown
Kyo Kaneko,estj,unknown,unknown,unknown
Sharon Osbourne,estj,unknown,unknown,unknown
Carlito (Raphaël Carlier),estj,unknown,unknown,unknown
Stas Vasilyev (aikakprosto / max power),estj,unknown,unknown,unknown
Bill O'Reilly,estj,unknown,unknown,unknown
Luiz Carlos Alborghetti,estj,unknown,unknown,unknown
Bette Davis,estj,unknown,unknown,unknown
Suga (BTS),intj,unknown,unknown,unknown
Dream (DreamWasTaken),intj,unknown,unknown,unknown
Friedrich Nietzsche,intj,unknown,unknown,unknown
Hades,intj,unknown,unknown,unknown
Cillian Murphy,intj,unknown,unknown,unknown
Stanley Kubrick,intj,unknown,unknown,unknown
Hajime Isayama,intj,unknown,unknown,unknown
Athena,intj,unknown,unknown,unknown
Bobby Fischer,intj,unknown,unknown,unknown
Sun Tzu,intj,unknown,unknown,unknown
Ayn Rand,intj,unknown,unknown,unknown
Christopher Nolan,intj,unknown,unknown,unknown
D'Angelo Wallace,intj,unknown,unknown,unknown
Jane Austen,intj,unknown,unknown,unknown
Jean-Paul Sartre,intj,unknown,unknown,unknown
Sakura Miyawaki,intj,unknown,unknown,unknown
Dilma Rousseff,intj,unknown,unknown,unknown
Eugene Lee Yang,intj,unknown,unknown,unknown
William James Sidis,intj,unknown,unknown,unknown
Trent Reznor,intj,unknown,unknown,unknown
Augustus,intj,unknown,unknown,unknown
Mori Calliope,intj,unknown,unknown,unknown
Jay-Z,intj,unknown,unknown,unknown
Chris Cornell,intj,unknown,unknown,unknown
G.W.F. Hegel,intj,unknown,unknown,unknown
Dave Brown (Boyinaband),intj,unknown,unknown,unknown
C. S. Lewis,intj,unknown,unknown,unknown
Dave Powers (Objective Personality),intj,unknown,unknown,unknown
sakkowo,intj,unknown,unknown,unknown
Moses,intj,unknown,unknown,unknown
Mehmed the Conqueror,intj,unknown,unknown,unknown
Matt Walsh,intj,unknown,unknown,unknown
Herobrine,intj,unknown,unknown,unknown
Heraclitus,intj,unknown,unknown,unknown
Krystal (Jung Soo Jung),intj,unknown,unknown,unknown
Hedy Lamarr,intj,unknown,unknown,unknown
New (The Boyz),intj,unknown,unknown,unknown
Martin Heidegger,intj,unknown,unknown,unknown
Im Changkyun “I.M” (Monsta X),intj,unknown,unknown,unknown
Andrew Yang,intj,unknown,unknown,unknown
SOPHIE (Sophie Xeon),intj,unknown,unknown,unknown
Woozi (SEVENTEEN),intj,unknown,unknown,unknown
Kurzgesagt – In a nutshell,intj,unknown,unknown,unknown
Lilith,intj,unknown,unknown,unknown
Odin,intj,unknown,unknown,unknown
Jodie Foster,intj,unknown,unknown,unknown
GargamelVlog,intj,unknown,unknown,unknown
John Nash,intj,unknown,unknown,unknown
Christopher Guadalupe (AsuraPsych),intj,unknown,unknown,unknown
Nikolai Gogol,intj,unknown,unknown,unknown
Solomon,intj,unknown,unknown,unknown
Martin Luther,intj,unknown,unknown,unknown
J. Robert Oppenheimer,intj,unknown,unknown,unknown
The Slender Man,intj,unknown,unknown,unknown
Maynard James Keenan,intj,unknown,unknown,unknown
Alan Moore,intj,unknown,unknown,unknown
Kim Yo Jong,intj,unknown,unknown,unknown
Hannibal,intj,unknown,unknown,unknown
Isaac Asimov,intj,unknown,unknown,unknown
"Josep ""Pep"" Guardiola",intj,unknown,unknown,unknown
Siouxsie Sioux,intj,unknown,unknown,unknown
NicKr,intj,unknown,unknown,unknown
Russell Crowe,intj,unknown,unknown,unknown
Jerry Seinfeld,intj,unknown,unknown,unknown
MamaMax,intj,unknown,unknown,unknown
Ouro Kronii,intj,unknown,unknown,unknown
Donna Tartt,intj,unknown,unknown,unknown
XkcdHatGuy,intj,unknown,unknown,unknown
Alex J. O’Connor (CosmicSkeptic),intj,unknown,unknown,unknown
Julius Evola,intj,unknown,unknown,unknown
John Adams,intj,unknown,unknown,unknown
Ali Khamenei,intj,unknown,unknown,unknown
Christopher Hitchens,intj,unknown,unknown,unknown
The Right Opinion,intj,unknown,unknown,unknown
Emily Brontë,intj,unknown,unknown,unknown
Qasem Soleimani,intj,unknown,unknown,unknown
Ednaldo Pereira,intj,unknown,unknown,unknown
Kelly Stamps,intj,unknown,unknown,unknown
Dick Cheney,intj,unknown,unknown,unknown
Claude Monet,intj,unknown,unknown,unknown
Hecate / Hekate / Trivia,intj,unknown,unknown,unknown
Linus Torvalds,intj,unknown,unknown,unknown
Lee Dong-Wook,intj,unknown,unknown,unknown
Teal Swan,intj,unknown,unknown,unknown
Gustav Mahler,intj,unknown,unknown,unknown
Sergei Rachmaninoff,intj,unknown,unknown,unknown
Anna Wintour,intj,unknown,unknown,unknown
Steve Jobs,entj,unknown,unknown,unknown
Napoléon Bonaparte,entj,unknown,unknown,unknown
Jenna Ortega,entj,unknown,unknown,unknown
Adele,entj,unknown,unknown,unknown
Jimmy D. DonaIdson (MrBeast),entj,unknown,unknown,unknown
Daniel Santomé Lemus (DalasReview),entj,unknown,unknown,unknown
Aristotle,entj,unknown,unknown,unknown
Arnold Schwarzenegger,entj,unknown,unknown,unknown
Julius Caesar,entj,unknown,unknown,unknown
Aidan Gallagher,entj,unknown,unknown,unknown
Ni-Ki (ENHYPEN),entj,unknown,unknown,unknown
Emmanuel Macron,entj,unknown,unknown,unknown
HeeJin (LOONA),entj,unknown,unknown,unknown
Liz (Thewizardliz),entj,unknown,unknown,unknown
Genghis Khan,entj,unknown,unknown,unknown
Danna Alquati,entj,unknown,unknown,unknown
Carl Sagan,entj,unknown,unknown,unknown
Jeremy Wang (Disguised Toast),entj,unknown,unknown,unknown
Alexander Hamilton,entj,unknown,unknown,unknown
Vaush,entj,unknown,unknown,unknown
Elizabeth Gillies,entj,unknown,unknown,unknown
Dave Mustaine,entj,unknown,unknown,unknown
Alexei Navalny,entj,unknown,unknown,unknown
Naomi Campbell,entj,unknown,unknown,unknown
Franklin D. Roosevelt,entj,unknown,unknown,unknown
Alexandra Botez,entj,unknown,unknown,unknown
Mohammed bin Salman (MBS),entj,unknown,unknown,unknown
Safiya Nygaard,entj,unknown,unknown,unknown
Elizabeth I of England,entj,unknown,unknown,unknown
Enéas Carneiro,entj,unknown,unknown,unknown
Javier Milei,entj,unknown,unknown,unknown
Alisha Griffanti (LaDivaDelTubo),entj,unknown,unknown,unknown
James Cameron,entj,unknown,unknown,unknown
Joaquín Domínguez (Elxokas),entj,unknown,unknown,unknown
Richard Wagner,entj,unknown,unknown,unknown
Key (SHINee),entj,unknown,unknown,unknown
Charlize Theron,entj,unknown,unknown,unknown
Tony Robbins,entj,unknown,unknown,unknown
José Mourinho,entj,unknown,unknown,unknown
Gillian Anderson,entj,unknown,unknown,unknown
Paul the Apostle,entj,unknown,unknown,unknown
Peter I the Great,entj,unknown,unknown,unknown
Paul Joseph Watson,entj,unknown,unknown,unknown
Garry Kasparov,entj,unknown,unknown,unknown
Seo Youngeun (Kep1er),entj,unknown,unknown,unknown
Henry Rollins,entj,unknown,unknown,unknown
Nicholas J. Fuentes,entj,unknown,unknown,unknown
Tristan Tate,entj,unknown,unknown,unknown
Jack London,entj,unknown,unknown,unknown
Elizabeth Warren,entj,unknown,unknown,unknown
Camille Vasquez,entj,unknown,unknown,unknown
Ted Nivison,entj,unknown,unknown,unknown
Pete Buttigieg,entj,unknown,unknown,unknown
Nancy Pelosi,entj,unknown,unknown,unknown
Louis XIV of France,entj,unknown,unknown,unknown
Melissa Talks,entj,unknown,unknown,unknown
Benjamin Netanyahu,entj,unknown,unknown,unknown
Judas Iscariot,entj,unknown,unknown,unknown
Gabrielle Bonheur “Coco” Chanel,entj,unknown,unknown,unknown
Dr. Dre,entj,unknown,unknown,unknown
Pavel Durov,entj,unknown,unknown,unknown
Andy Biersack,entj,unknown,unknown,unknown
Attila the Hun,entj,unknown,unknown,unknown
Dalauan Sparrow (Low Tier God),entj,unknown,unknown,unknown
Cyrus the Great (Kurosh-e-Bozorg),entj,unknown,unknown,unknown
Brett Cooper,entj,unknown,unknown,unknown
Anna Akana,entj,unknown,unknown,unknown
Howard Hughes,entj,unknown,unknown,unknown
Richard Burgess (Vegan Gains),entj,unknown,unknown,unknown
Kalvin Garrah,entj,unknown,unknown,unknown
Ivan the Terrible,entj,unknown,unknown,unknown
Alexey Shevtsov (Itpedia),entj,unknown,unknown,unknown
Antony Starr,entj,unknown,unknown,unknown
Manoel Gomes (Caneta Azul),entj,unknown,unknown,unknown
Muharrem İnce,entj,unknown,unknown,unknown
Francis Bacon,entj,unknown,unknown,unknown
Caliph Umar the Distinguisher (Farooq),entj,unknown,unknown,unknown
Betty White,entj,unknown,unknown,unknown
Awsten Knight,entj,unknown,unknown,unknown
Vince McMahon,entj,unknown,unknown,unknown
Kyle Kulinski (Secular Talk),entj,unknown,unknown,unknown
Andrew Cuomo,entj,unknown,unknown,unknown
Devin James Stone (LegalEagle),entj,unknown,unknown,unknown
Shannon Renee (Objective Personality),entj,unknown,unknown,unknown
Ali Abdaal,entj,unknown,unknown,unknown
Denial Typea (Denial Aguayo),entj,unknown,unknown,unknown
Johan Cruyff,entj,unknown,unknown,unknown
Kim Jong-il (김정일),entj,unknown,unknown,unknown
Henry II of England,entj,unknown,unknown,unknown
Al Gore,entj,unknown,unknown,unknown
Elizabeth Olsen,isfj,unknown,unknown,unknown
Sadie Sink,isfj,unknown,unknown,unknown
Beyoncé,isfj,unknown,unknown,unknown
Charli D'Amelio,isfj,unknown,unknown,unknown
Bob Ross,isfj,unknown,unknown,unknown
Taeyeon (SNSD),isfj,unknown,unknown,unknown
Kim Seungmin (Stray Kids),isfj,unknown,unknown,unknown
Jungwon (ENHYPEN),isfj,unknown,unknown,unknown
Brian May,isfj,unknown,unknown,unknown
mxmtoon,isfj,unknown,unknown,unknown
Yeji Hwang (ITZY),isfj,unknown,unknown,unknown
Bella Hadid,isfj,unknown,unknown,unknown
Lee Chaeryeong (ITZY),isfj,unknown,unknown,unknown
Niki (Nihachu),isfj,unknown,unknown,unknown
Darryl Noveschosch (BadBoyHalo),isfj,unknown,unknown,unknown
Henry Cavill,isfj,unknown,unknown,unknown
Jeonghan (SEVENTEEN),isfj,unknown,unknown,unknown
ViVi (LOONA),isfj,unknown,unknown,unknown
Confucius,isfj,unknown,unknown,unknown
Adam,isfj,unknown,unknown,unknown
Eugenia Cooney,isfj,unknown,unknown,unknown
Park Jinyoung (GOT7),isfj,unknown,unknown,unknown
Lili Reinhart,isfj,unknown,unknown,unknown
Mother Teresa,isfj,unknown,unknown,unknown
Seonghwa (ATEEZ),isfj,unknown,unknown,unknown
"Catherine, Princess of Wales",isfj,unknown,unknown,unknown
Jimmy Carter,isfj,unknown,unknown,unknown
Liz (IVE),isfj,unknown,unknown,unknown
Chungha,isfj,unknown,unknown,unknown
Phillip Watson (Philza Minecraft),isfj,unknown,unknown,unknown
Barış Özcan,isfj,unknown,unknown,unknown
Marie Kondo,isfj,unknown,unknown,unknown
"William, Prince of Wales",isfj,unknown,unknown,unknown
Wonho,isfj,unknown,unknown,unknown
Liam Payne,isfj,unknown,unknown,unknown
Felipe Zaghetti (Felps),isfj,unknown,unknown,unknown
Bruce Willis,isfj,unknown,unknown,unknown
Joko Widodo (Jokowi),isfj,unknown,unknown,unknown
Anthony Hopkins,isfj,unknown,unknown,unknown
Shen Xiaoting (Kep1er),isfj,unknown,unknown,unknown
Jão,isfj,unknown,unknown,unknown
Carlo Ancelotti,isfj,unknown,unknown,unknown
Kim Minju,isfj,unknown,unknown,unknown
Demeter,isfj,unknown,unknown,unknown
Mitt Romney,isfj,unknown,unknown,unknown
Kemal Kılıçdaroğlu,isfj,unknown,unknown,unknown
YoonA (SNSD),isfj,unknown,unknown,unknown
Amy Coney Barrett,isfj,unknown,unknown,unknown
Roger Federer,isfj,unknown,unknown,unknown
Seth Meyers,isfj,unknown,unknown,unknown
Kaia Gerber,isfj,unknown,unknown,unknown
Neo & Toprak,isfj,unknown,unknown,unknown
Hestia,isfj,unknown,unknown,unknown
Tiago Leifert,isfj,unknown,unknown,unknown
xSMA333(محمد المكسيكي),isfj,unknown,unknown,unknown
Louis Partridge,isfj,unknown,unknown,unknown
Arin (OH MY GIRL),isfj,unknown,unknown,unknown
Sade Adu,isfj,unknown,unknown,unknown
Jamie Raines (Jammidodger),isfj,unknown,unknown,unknown
Enes Aslanlı (Sadece Enes),isfj,unknown,unknown,unknown
Seul Gi Lee (Latte ASMR),isfj,unknown,unknown,unknown
Phil Collins,isfj,unknown,unknown,unknown
Santiago Abascal,isfj,unknown,unknown,unknown
Nako Yabuki,isfj,unknown,unknown,unknown
Andrés Iniesta,isfj,unknown,unknown,unknown
Toby Hendy (Tibees),isfj,unknown,unknown,unknown
Bashar al-Assad,isfj,unknown,unknown,unknown
Miranda Cosgrove,isfj,unknown,unknown,unknown
Mary I of England “Bloody Mary”,isfj,unknown,unknown,unknown
Steven Williams (Boogie2988),isfj,unknown,unknown,unknown
Sean Evans,isfj,unknown,unknown,unknown
Minami Hamabe,isfj,unknown,unknown,unknown
Jill Biden,isfj,unknown,unknown,unknown
Charles Leclerc,isfj,unknown,unknown,unknown
Ellie Goulding,isfj,unknown,unknown,unknown
Kirsten Dunst,isfj,unknown,unknown,unknown
"Tobi Brown ""Tobjizzle""",isfj,unknown,unknown,unknown
Rachel McAdams,isfj,unknown,unknown,unknown
Awesamdude,isfj,unknown,unknown,unknown
N'Golo Kanté,isfj,unknown,unknown,unknown
Paulo Muzy,isfj,unknown,unknown,unknown
Julián Álvarez,isfj,unknown,unknown,unknown
Leighton Meester,isfj,unknown,unknown,unknown
Pedri,isfj,unknown,unknown,unknown
Seyed Ebrahim Raisi,isfj,unknown,unknown,unknown
Lee Jong-suk,isfj,unknown,unknown,unknown
Taylor Swift,esfj,unknown,unknown,unknown
Ariana Grande,esfj,unknown,unknown,unknown
Olivia Rodrigo,esfj,unknown,unknown,unknown
J-Hope (BTS),esfj,unknown,unknown,unknown
Rosé (BLACKPINK),esfj,unknown,unknown,unknown
Joe Biden,esfj,unknown,unknown,unknown
Seán McLoughlin (Jacksepticeye),esfj,unknown,unknown,unknown
Paul McCartney,esfj,unknown,unknown,unknown
James Charles,esfj,unknown,unknown,unknown
Millie Bobby Brown,esfj,unknown,unknown,unknown
Mark Lee (NCT),esfj,unknown,unknown,unknown
Kim Dahyun (TWICE),esfj,unknown,unknown,unknown
Mariah Carey,esfj,unknown,unknown,unknown
Karina (aespa),esfj,unknown,unknown,unknown
Emilia Clarke,esfj,unknown,unknown,unknown
Chris Evans,esfj,unknown,unknown,unknown
Jimmy Fallon,esfj,unknown,unknown,unknown
Khloé Kardashian,esfj,unknown,unknown,unknown
Wendy (Red Velvet),esfj,unknown,unknown,unknown
Gigi Hadid,esfj,unknown,unknown,unknown
Jungwoo (NCT),esfj,unknown,unknown,unknown
Emily Sim (Emirichu),esfj,unknown,unknown,unknown
SeungKwan (SEVENTEEN),esfj,unknown,unknown,unknown
LeBron James,esfj,unknown,unknown,unknown
Mingyu (SEVENTEEN),esfj,unknown,unknown,unknown
Addison Rae,esfj,unknown,unknown,unknown
"Cho Miyeon, (G)I-DLE",esfj,unknown,unknown,unknown
Viih Tube,esfj,unknown,unknown,unknown
Andrés Manuel López Obrador,esfj,unknown,unknown,unknown
Hailey Bieber,esfj,unknown,unknown,unknown
Emma Roberts,esfj,unknown,unknown,unknown
Ryan Bergara,esfj,unknown,unknown,unknown
Naiara Azevedo,esfj,unknown,unknown,unknown
Juan Sebastián Guarnizo (JuanSGuarnizo),esfj,unknown,unknown,unknown
Triz Pariz,esfj,unknown,unknown,unknown
Terry Crews,esfj,unknown,unknown,unknown
Beatrice Chestnut,esfj,unknown,unknown,unknown
Jennifer Lopez,esfj,unknown,unknown,unknown
Kim Sejeong (Gugudan),esfj,unknown,unknown,unknown
JiU (DREAMCATCHER),esfj,unknown,unknown,unknown
Gwyneth Paltrow,esfj,unknown,unknown,unknown
Sofía Vergara,esfj,unknown,unknown,unknown
Jack Edwards (Jack Ben Edwards),esfj,unknown,unknown,unknown
Gabriel Monteiro,esfj,unknown,unknown,unknown
Madelaine Petsch,esfj,unknown,unknown,unknown
Simone Biles,esfj,unknown,unknown,unknown
Ycro,esfj,unknown,unknown,unknown
Kiara Takanashi,esfj,unknown,unknown,unknown
Kwon Eunbi,esfj,unknown,unknown,unknown
Wendy Williams,esfj,unknown,unknown,unknown
Steve Harvey,esfj,unknown,unknown,unknown
Ned Fulmer,esfj,unknown,unknown,unknown
Huening Bahiyyih (Kep1er),esfj,unknown,unknown,unknown
"Patton ""Morality"" Sanders (Sanders Sides)",esfj,unknown,unknown,unknown
Aitana,esfj,unknown,unknown,unknown
Kyujin (NMIXX),esfj,unknown,unknown,unknown
Tyra Banks,esfj,unknown,unknown,unknown
Dhar Mann,esfj,unknown,unknown,unknown
Guilherme Briggs,esfj,unknown,unknown,unknown
Shotaro (NCT),esfj,unknown,unknown,unknown
Vin Diesel,esfj,unknown,unknown,unknown
Tiago Abravanel,esfj,unknown,unknown,unknown
Andrzej Duda,esfj,unknown,unknown,unknown
Whitney Houston,esfj,unknown,unknown,unknown
Yoo Kihyun (Monsta X),esfj,unknown,unknown,unknown
Larissa Manoela,esfj,unknown,unknown,unknown
Luis Arturo Villar (Luisito Comunica),esfj,unknown,unknown,unknown
Meghan Trainor,esfj,unknown,unknown,unknown
Loren Gray,esfj,unknown,unknown,unknown
Dave Rubin,esfj,unknown,unknown,unknown
Luara Fonseca,esfj,unknown,unknown,unknown
Joseph Haydn,esfj,unknown,unknown,unknown
Stephanie Soo,esfj,unknown,unknown,unknown
Simon Minter (Miniminter),esfj,unknown,unknown,unknown
Damares Alves,esfj,unknown,unknown,unknown
Jules Leblanc,esfj,unknown,unknown,unknown
Daisy Ridley,esfj,unknown,unknown,unknown
Sunny (SNSD),esfj,unknown,unknown,unknown
Marília Mendonça,esfj,unknown,unknown,unknown
Mari Gonzalez,esfj,unknown,unknown,unknown
Lee Daehwi (AB6IX),esfj,unknown,unknown,unknown
Dasha Taran,esfj,unknown,unknown,unknown
Vladimir Putin,istp,unknown,unknown,unknown
Eminem,istp,unknown,unknown,unknown
Kendall Jenner,istp,unknown,unknown,unknown
Shin Ryujin (ITZY),istp,unknown,unknown,unknown
Diogenes,istp,unknown,unknown,unknown
Taehyun (TXT),istp,unknown,unknown,unknown
Winter (aespa),istp,unknown,unknown,unknown
Megan Fox,istp,unknown,unknown,unknown
Kristen Stewart,istp,unknown,unknown,unknown
Olivia Hye (LOONA),istp,unknown,unknown,unknown
Pedro Henrique (Orochinho),istp,unknown,unknown,unknown
Magnus Carlsen,istp,unknown,unknown,unknown
